Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-26,Armstrong,15,NA,NA,NA
2022-04-13,Crawford,7,12,8,65
2020-12-26,Bedford,7,NA,NA,NA
2022-10-11,Centre,8,14,3,NA
2020-12-26,Blair,73,NA,NA,NA
2020-12-26,Cambria,10,NA,NA,NA
2020-12-26,Carbon,33,NA,NA,NA
2022-01-13,Lycoming,65,39,110,NA
2021-04-20,Schuylkill,527,705,NA,NA
2020-12-26,Clearfield,3,NA,NA,NA
2021-11-24,Franklin,152,74,262,NA
2021-12-22,Bucks,1087,405,2444,NA
2022-12-01,Perry,1,1,NA,NA
2021-09-06,Centre,26,28,5,NA
2020-12-26,Erie,17,NA,NA,NA
2020-12-26,Fayette,3,NA,NA,NA
2020-12-26,Franklin,70,NA,NA,NA
2020-12-26,Fulton,1,NA,NA,NA
2020-12-26,Greene,3,NA,NA,NA
2022-06-17,Northampton,31,22,70,157
2020-12-26,Juniata,5,NA,NA,NA
2022-04-08,Adams,17,17,30,141
2022-12-23,Pike,1,NA,NA,NA
2020-12-26,Lawrence,3,NA,NA,NA
2020-12-26,Lebanon,79,NA,NA,NA
2022-04-27,Sullivan,1,NA,NA,3
2022-04-20,Armstrong,8,15,29,429
2020-12-26,Lycoming,5,NA,NA,NA
2020-12-26,Mercer,1,NA,NA,NA
2020-12-26,Mifflin,14,NA,NA,NA
2022-04-21,Fayette,15,12,18,105
2022-08-17,Allegheny,314,257,243,242
2020-12-26,Northumberland,36,NA,NA,NA
2022-02-11,Pike,31,21,30,NA
2021-02-10,Montour,100,33,NA,NA
2020-12-26,Pike,3,NA,NA,NA
2020-12-26,Snyder,12,NA,NA,NA
2020-12-26,Somerset,1,NA,NA,NA
2020-12-26,Sullivan,1,NA,NA,NA
2020-12-26,Susquehanna,2,NA,NA,NA
2020-12-26,Tioga,2,NA,NA,NA
2020-12-26,Union,21,NA,NA,NA
2020-12-26,Wayne,7,NA,NA,NA
2020-12-26,Westmoreland,73,NA,NA,NA
2021-10-11,Potter,5,4,4,NA
2022-11-01,Chester,52,46,NA,NA
2020-12-27,Adams,13,NA,NA,NA
2023-01-02,Tioga,NA,NA,NA,NA
2020-12-27,Armstrong,3,NA,NA,NA
2020-12-27,Beaver,12,NA,NA,NA
2022-09-06,Luzerne,45,19,1,NA
2020-12-27,Bradford,3,NA,NA,NA
2020-12-27,Bucks,170,NA,NA,NA
2020-12-27,Butler,27,NA,NA,NA
2020-12-27,Cambria,1,NA,NA,NA
2020-12-27,Carbon,22,NA,NA,NA
2022-07-17,Warren,NA,2,2,4
2022-01-06,Snyder,56,13,58,NA
2023-01-02,Centre,2,2,NA,NA
2020-12-27,Clinton,1,NA,NA,NA
2021-06-15,Bucks,523,1679,NA,NA
2020-12-27,Cumberland,25,NA,NA,NA
2020-12-27,Dauphin,15,NA,NA,NA
2021-05-19,Lackawanna,674,1477,NA,NA
2020-12-27,Erie,1,NA,NA,NA
2020-12-27,Fayette,3,NA,NA,NA
2020-12-27,Franklin,1,NA,NA,NA
2020-12-27,Fulton,1,NA,NA,NA
